name,shape_id,implementation,is_probe,profile_seconds,dram_bytes,dram_bytes_per_second,nominal_flops,nominal_flops_per_second,nominal_flops_per_dram_byte
counter-probe,gc_78e99ae160f2dd60,0,True,,74752.0,,225792,,3.0205479452054793
00-gc_78e99ae160f2dd60-k0,gc_78e99ae160f2dd60,0,False,3.3920000000000003e-06,74496.0,21962264150.943394,225792,66566037735.84905,3.0309278350515463
01-gc_78e99ae160f2dd60-k1,gc_78e99ae160f2dd60,1,False,2.4960000000000003e-06,71424.0,28615384615.384613,225792,90461538461.53845,3.161290322580645
02-gc_78e99ae160f2dd60-k2,gc_78e99ae160f2dd60,2,False,2.6880000000000004e-06,73472.0,27333333333.33333,225792,83999999999.99998,3.073170731707317
03-gc_78e99ae160f2dd60-k3,gc_78e99ae160f2dd60,3,False,3.0080000000000003e-06,82432.0,27404255319.148933,225792,75063829787.23404,2.739130434782609
04-gc_ccafda2438d25cd0-k0,gc_ccafda2438d25cd0,0,False,1.0208000000000001e-05,836352.0,81931034482.7586,7225344,707811912225.7052,8.639118457300276
05-gc_ccafda2438d25cd0-k1,gc_ccafda2438d25cd0,1,False,5.536e-06,833280.0,150520231213.87283,7225344,1305156069364.1619,8.670967741935485
06-gc_ccafda2438d25cd0-k2,gc_ccafda2438d25cd0,2,False,5.856e-06,836352.0,142819672131.14752,7225344,1233836065573.7705,8.639118457300276
07-gc_ccafda2438d25cd0-k3,gc_ccafda2438d25cd0,3,False,4.48e-06,844288.0,188457142857.14285,7225344,1612800000000.0,8.557913887204366
08-gc_89f7910f07a199fb-k0,gc_89f7910f07a199fb,0,False,5.2224e-05,3263232.0,62485294117.64706,57802752,1106823529411.7646,17.71334431630972
09-gc_89f7910f07a199fb-k1,gc_89f7910f07a199fb,1,False,1.8784000000000002e-05,3260288.0,173567291311.75467,57802752,3077233390119.25,17.72933924855718
10-gc_89f7910f07a199fb-k2,gc_89f7910f07a199fb,2,False,1.9904e-05,3264640.0,164019292604.5016,57802752,2904077170418.0063,17.70570476377181
11-gc_89f7910f07a199fb-k3,gc_89f7910f07a199fb,3,False,1.1296e-05,3271168.0,289586402266.28894,57802752,5117099150141.644,17.670370950070435
12-gc_f49992cd44897fbf-k0,gc_f49992cd44897fbf,0,False,0.000793472,3177216.0,4004194224.8749795,924844032,1165566059041.7808,291.0862944162437
13-gc_f49992cd44897fbf-k1,gc_f49992cd44897fbf,1,False,0.000238752,3174144.0,13294732609.569763,924844032,3873659831121.8335,291.36801354947977
14-gc_f49992cd44897fbf-k3,gc_f49992cd44897fbf,3,False,0.00015552,3185152.0,20480658436.213993,924844032,5946785185185.186,290.36103520334353
15-gc_053183ea91616041-k0,gc_053183ea91616041,0,False,3.8208000000000004e-05,6447104.0,168737018425.46063,28901376,756422110552.7638,4.48284625158831
16-gc_053183ea91616041-k1,gc_053183ea91616041,1,False,2.5568000000000003e-05,6444032.0,252035043804.75592,28901376,1130372966207.7595,4.484983314794216
17-gc_053183ea91616041-k2,gc_053183ea91616041,2,False,2.1760000000000002e-05,6446080.0,296235294117.64703,28901376,1328188235294.1174,4.483558379666402
18-gc_053183ea91616041-k3,gc_053183ea91616041,3,False,1.2192000000000001e-05,6455040.0,529448818897.63776,28901376,2370519685039.3696,4.47733491969066
19-gc_62e0ae05b7836be7-k0,gc_62e0ae05b7836be7,0,False,0.0014817600000000002,174502784.0,117767238959.07568,1849688064,1248304761904.7617,10.599762488603048
20-gc_62e0ae05b7836be7-k1,gc_62e0ae05b7836be7,1,False,0.0005071040000000001,175534720.0,346151322016.78546,1849688064,3647551713258.0293,10.537448454641908
21-gc_62e0ae05b7836be7-k2,gc_62e0ae05b7836be7,2,False,0.000544768,175579264.0,322300986842.1052,1849688064,3395368421052.6313,10.534775131532616
22-gc_62e0ae05b7836be7-k3,gc_62e0ae05b7836be7,3,False,0.000249088,173007104.0,694562178828.3658,1849688064,7425841726618.705,10.691399493052032
23-gc_866eddd9507e8dc4-k0,gc_866eddd9507e8dc4,0,False,7.011200000000001e-05,12870272.0,183567320858.05566,57802752,824434504792.3322,4.491183403116889
24-gc_866eddd9507e8dc4-k1,gc_866eddd9507e8dc4,1,False,4.0640000000000004e-05,12866560.0,316598425196.85034,57802752,1422311811023.6218,4.492479108635098
25-gc_866eddd9507e8dc4-k2,gc_866eddd9507e8dc4,2,False,3.3344000000000005e-05,12868736.0,385938579654.5105,57802752,1733527831094.0496,4.491719466465082
26-gc_866eddd9507e8dc4-k3,gc_866eddd9507e8dc4,3,False,1.8304e-05,12877696.0,703545454545.4546,57802752,3157930069930.07,4.488594233005656
27-gc_8a8acca0747584c4-k0,gc_8a8acca0747584c4,0,False,0.0006924800000000001,25783808.0,37234011090.573006,924844032,1335553419593.3455,35.86917929267857
28-gc_8a8acca0747584c4-k1,gc_8a8acca0747584c4,1,False,0.000214464,25793024.0,120267382870.78484,924844032,4312350940017.905,35.856363022808026
29-gc_8a8acca0747584c4-k3,gc_8a8acca0747584c4,3,False,0.000115648,25791616.0,223018262313.22635,924844032,7997060320973.99,35.85832047127253
