shape_id,implementation,status,profile_us,dram_bytes,lts__t_sectors.sum_value,lts__t_sectors.sum_unit,sm__warps_active.avg.pct_of_peak_sustained_active_value,sm__warps_active.avg.pct_of_peak_sustained_active_unit,smsp__warps_eligible.avg.per_cycle_active_value,smsp__warps_eligible.avg.per_cycle_active_unit,smsp__issue_active.avg.pct_of_peak_sustained_active_value,smsp__issue_active.avg.pct_of_peak_sustained_active_unit,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum_value,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum_unit,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum_value,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum_unit,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum_value,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum_unit,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum_value,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum_unit
gc_78e99ae160f2dd60,0,PASS,3.3920000000000003,74496.0,10194.0,sector,15.3,%,0.31,warp,26.26,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_78e99ae160f2dd60,1,PASS,2.4960000000000004,71424.0,10376.0,sector,15.15,%,0.31,warp,24.6,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_78e99ae160f2dd60,2,PASS,2.688,73472.0,11126.0,sector,15.33,%,0.18,warp,16.17,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_78e99ae160f2dd60,3,PASS,3.0080000000000005,82432.0,13201.0,sector,7.61,%,0.13,warp,13.2,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_ccafda2438d25cd0,0,PASS,10.208000000000002,836352.0,94004.0,sector,50.79,%,1.78,warp,64.72,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_ccafda2438d25cd0,1,PASS,5.536,833280.0,117345.0,sector,55.8,%,1.92,warp,62.37,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_ccafda2438d25cd0,2,PASS,5.856000000000001,836352.0,116550.0,sector,68.41,%,1.78,warp,54.55,%,64512.0,,0.0,,0.0,sector,0.0,sector
gc_ccafda2438d25cd0,3,PASS,4.48,844288.0,92396.0,sector,21.98,%,0.4,warp,28.52,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_89f7910f07a199fb,0,PASS,52.224,3263232.0,703724.0,sector,58.31,%,2.19,warp,71.92,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_89f7910f07a199fb,1,PASS,18.784000000000002,3260288.0,956704.0,sector,72.38,%,2.39,warp,73.36,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_89f7910f07a199fb,2,PASS,19.904,3264640.0,966243.0,sector,88.66,%,2.8,warp,66.62,%,774144.0,,0.0,,0.0,sector,0.0,sector
gc_89f7910f07a199fb,3,PASS,11.296,3271168.0,602969.0,sector,51.86,%,1.18,warp,47.07,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_f49992cd44897fbf,0,PASS,793.472,3177216.0,7465075.0,sector,54.73,%,2.15,warp,70.71,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_f49992cd44897fbf,1,PASS,238.752,3174144.0,10356966.0,sector,57.0,%,1.08,warp,40.62,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_f49992cd44897fbf,2,UNSUPPORTED,,,,,,,,,,,,,,,,,,
gc_f49992cd44897fbf,3,PASS,155.52,3185152.0,3419459.0,sector,25.35,%,0.31,warp,25.25,%,0.0,,0.0,,0.0,sector,0.0,sector
gc_053183ea91616041,0,PASS,38.208000000000006,6447104.0,451144.0,sector,58.26,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
gc_053183ea91616041,1,PASS,25.568000000000005,6444032.0,492530.0,sector,68.03,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
gc_053183ea91616041,2,PASS,21.76,6446080.0,479084.0,sector,88.17,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
