baseline,candidate,metric,supported_shapes,all_holdout_shapes,geomean_baseline_over_triton,minimum_ratio,maximum_ratio,descriptive_ratio_above_1,statistical_classification
k0,triton,t_device_op_graph_us,15,40,3.004361694189879,1.5043911218506476,5.857701217829055,15,UNCERTAIN
k0,triton,t_api_us,15,40,2.3026567425986193,1.1879674500989577,5.791471552636266,15,UNCERTAIN
k0,triton,t_host_feed_us,15,40,1.236984962977277,1.1644676840761232,1.3277032359905288,15,UNCERTAIN
k1,triton,t_device_op_graph_us,15,40,1.763892523144095,1.053011555946707,3.846258844559976,15,UNCERTAIN
k1,triton,t_api_us,15,40,1.5299374869916997,1.1701700418696064,3.771080172224143,15,UNCERTAIN
k1,triton,t_host_feed_us,15,40,1.2119280323924109,1.1408159542773755,1.2699824020689723,15,UNCERTAIN
k2,triton,t_device_op_graph_us,15,40,1.7258231708672036,1.087871284442846,3.14924858769941,15,UNCERTAIN
k2,triton,t_api_us,15,40,1.491787111576399,1.1669388541707268,3.0842421194883562,15,UNCERTAIN
k2,triton,t_host_feed_us,15,40,1.208409504827585,1.1156745911108406,1.272291522853004,15,UNCERTAIN
k3,triton,t_device_op_graph_us,15,40,1.0767140662281989,0.740822920575882,1.3259620250155935,11,UNCERTAIN
k3,triton,t_api_us,15,40,1.1219729611950915,0.7607736596616828,1.2385319390855374,13,UNCERTAIN
k3,triton,t_host_feed_us,15,40,1.1988491553559073,1.101568675138323,1.26599369974624,15,UNCERTAIN
torch_cuda_default,triton,t_device_op_graph_us,15,40,1.445026631641238,1.1315926762013018,2.3951404147013036,15,UNCERTAIN
torch_cuda_default,triton,t_api_us,15,40,0.9083715466356423,0.44019577126472803,2.297198658115092,6,UNCERTAIN
torch_cuda_default,triton,t_host_feed_us,15,40,0.5621429460136725,0.43488492573567855,0.826138505502523,0,UNCERTAIN
torch_cuda_tuned,triton,t_device_op_graph_us,15,40,1.4460150799061133,1.136350438724341,2.4088263118586504,15,UNCERTAIN
torch_cuda_tuned,triton,t_api_us,15,40,0.9213313045401806,0.4488920322900562,2.3156977021649077,6,UNCERTAIN
torch_cuda_tuned,triton,t_host_feed_us,15,40,0.5499104286345424,0.43830618859987747,0.6839849212622361,0,UNCERTAIN
